AG-stock,AA-stock
0,0
6.833333333,0
13.66666667,0
20.5,0
27.33333333,0
34.16666667,0
41,0
0,6.833333333
6.833333333,6.833333333
13.66666667,6.833333333
20.5,6.833333333
27.33333333,6.833333333
34.16666667,6.833333333
41,6.833333333
0,13.66666667
6.833333333,13.66666667
13.66666667,13.66666667
20.5,13.66666667
27.33333333,13.66666667
34.16666667,13.66666667
41,13.66666667
0,20.5
6.833333333,20.5
13.66666667,20.5
20.5,20.5
27.33333333,20.5
34.16666667,20.5
41,20.5
0,27.33333333
6.833333333,27.33333333
13.66666667,27.33333333
20.5,27.33333333
27.33333333,27.33333333
34.16666667,27.33333333
41,27.33333333
0,34.16666667
6.833333333,34.16666667
13.66666667,34.16666667
20.5,34.16666667
27.33333333,34.16666667
34.16666667,34.16666667
41,34.16666667
0,41
6.833333333,41
13.66666667,41
20.5,41
27.33333333,41
34.16666667,41
