,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,122.0,88.0,30.0,30.0,11.0,6.0,23.0,9.0,25.0
1,117.0,106.0,51.0,35.0,22.0,2.0,0.0,13.0,0.0
2,44.0,124.0,41.0,19.0,20.0,24.0,6.0,31.0,36.0
3,58.0,123.0,51.0,29.0,7.0,7.0,9.0,28.0,32.0
4,46.0,133.0,32.0,28.0,8.0,12.0,20.0,27.0,39.0
5,52.0,179.0,44.0,14.0,7.0,7.0,14.0,27.0,1.0
6,73.0,137.0,52.0,20.0,3.0,21.0,14.0,18.0,6.0
7,66.0,117.0,46.0,9.0,19.0,24.0,4.0,23.0,38.0
8,99.0,78.0,55.0,22.0,5.0,23.0,8.0,21.0,36.0
9,99.0,98.0,48.0,31.0,0.0,22.0,14.0,28.0,6.0
10,95.0,115.0,43.0,1.0,11.0,21.0,0.0,29.0,33.0
11,99.0,91.0,55.0,8.0,2.0,18.0,23.0,25.0,26.0
12,122.0,95.0,21.0,23.0,12.0,11.0,9.0,16.0,37.0
13,106.0,138.0,34.0,0.0,11.0,12.0,18.0,18.0,8.0
14,45.0,107.0,52.0,31.0,23.0,24.0,3.0,27.0,33.0
15,115.0,124.0,44.0,19.0,13.0,5.0,6.0,13.0,5.0
16,64.0,170.0,30.0,13.0,19.0,3.0,15.0,24.0,7.0
17,66.0,153.0,21.0,3.0,13.0,14.0,20.0,21.0,34.0
18,130.0,80.0,23.0,0.0,18.0,24.0,23.0,10.0,39.0
19,48.0,212.0,46.0,16.0,3.0,6.0,7.0,0.0,8.0
20,86.0,110.0,39.0,15.0,23.0,6.0,22.0,24.0,21.0
21,56.0,108.0,34.0,32.0,15.0,14.0,24.0,34.0,29.0
22,65.0,99.0,38.0,33.0,16.0,10.0,23.0,32.0,29.0
23,85.0,171.0,28.0,9.0,15.0,13.0,3.0,22.0,1.0
24,130.0,55.0,30.0,30.0,25.0,18.0,8.0,29.0,21.0
25,94.0,173.0,22.0,9.0,12.0,0.0,9.0,3.0,23.0
26,99.0,109.0,34.0,16.0,5.0,10.0,22.0,30.0,19.0
27,118.0,109.0,34.0,25.0,8.0,23.0,20.0,2.0,6.0
28,122.0,78.0,51.0,31.0,3.0,4.0,23.0,31.0,2.0
29,73.0,138.0,24.0,7.0,11.0,20.0,19.0,23.0,31.0
30,70.0,144.0,24.0,4.0,13.0,15.0,20.0,23.0,33.0
31,72.0,144.0,24.0,3.0,13.0,15.0,19.0,22.0,33.0
32,42.0,169.0,25.0,14.0,12.0,4.0,10.0,32.0,37.0
33,107.0,146.0,30.0,11.0,24.0,17.0,6.0,0.0,5.0
34,100.0,110.0,54.0,5.0,7.0,12.0,16.0,33.0,9.0
35,43.0,136.0,23.0,27.0,8.0,13.0,22.0,34.0,39.0
36,79.0,119.0,22.0,23.0,19.0,11.0,8.0,27.0,37.0
37,41.0,146.0,20.0,20.0,15.0,15.0,21.0,35.0,33.0
38,112.0,94.0,28.0,20.0,19.0,8.0,2.0,32.0,30.0
39,120.0,90.0,31.0,16.0,4.0,18.0,21.0,6.0,39.0
40,100.0,131.0,53.0,7.0,19.0,6.0,15.0,2.0,12.0
41,77.0,173.0,23.0,22.0,2.0,13.0,4.0,19.0,12.0
42,112.0,114.0,28.0,33.0,12.0,11.0,3.0,25.0,6.0
43,105.0,106.0,54.0,9.0,1.0,14.0,20.0,21.0,17.0
44,66.0,118.0,46.0,30.0,0.0,21.0,16.0,30.0,19.0
45,86.0,129.0,45.0,12.0,21.0,18.0,21.0,2.0,10.0
46,104.0,130.0,28.0,1.0,23.0,20.0,2.0,31.0,6.0
47,120.0,56.0,26.0,10.0,18.0,24.0,19.0,35.0,37.0
