,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,81.0,123.0,43.0,14.0,10.0,8.0,12.0,19.0,40.0
1,131.0,90.0,42.0,12.0,10.0,4.0,5.0,17.0,37.0
2,75.0,109.0,39.0,15.0,17.0,20.0,21.0,26.0,27.0
3,105.0,107.0,47.0,17.0,7.0,3.0,17.0,19.0,28.0
4,80.0,109.0,43.0,16.0,12.0,11.0,20.0,22.0,37.0
5,80.0,84.0,44.0,14.0,18.0,23.0,22.0,29.0,36.0
6,100.0,99.0,42.0,22.0,9.0,9.0,15.0,22.0,33.0
7,106.0,123.0,42.0,21.0,6.0,1.0,10.0,18.0,23.0
8,99.0,124.0,40.0,21.0,9.0,4.0,14.0,22.0,17.0
9,104.0,95.0,45.0,12.0,9.0,9.0,11.0,25.0,40.0
10,73.0,101.0,45.0,15.0,18.0,15.0,20.0,28.0,35.0
11,69.0,157.0,37.0,13.0,13.0,12.0,4.0,20.0,28.0
12,93.0,83.0,45.0,15.0,13.0,14.0,21.0,29.0,36.0
13,111.0,118.0,37.0,21.0,8.0,1.0,3.0,17.0,33.0
14,96.0,116.0,46.0,9.0,12.0,7.0,14.0,19.0,30.0
15,98.0,73.0,48.0,16.0,15.0,18.0,16.0,26.0,40.0
16,89.0,133.0,38.0,14.0,11.0,6.0,2.0,19.0,38.0
17,75.0,104.0,49.0,16.0,14.0,12.0,16.0,24.0,40.0
18,92.0,132.0,38.0,13.0,9.0,7.0,9.0,16.0,34.0
19,76.0,96.0,46.0,17.0,21.0,16.0,15.0,24.0,40.0
20,115.0,84.0,44.0,18.0,10.0,8.0,24.0,19.0,27.0
21,86.0,104.0,45.0,10.0,16.0,19.0,13.0,25.0,32.0
22,106.0,91.0,39.0,16.0,13.0,10.0,17.0,28.0,30.0
23,118.0,86.0,45.0,13.0,8.0,6.0,14.0,22.0,40.0
24,118.0,98.0,36.0,15.0,10.0,7.0,13.0,23.0,31.0
25,92.0,100.0,41.0,20.0,14.0,8.0,13.0,22.0,40.0
26,76.0,144.0,38.0,9.0,11.0,14.0,1.0,17.0,40.0
27,107.0,114.0,42.0,7.0,8.0,6.0,12.0,17.0,37.0
28,89.0,113.0,42.0,13.0,14.0,9.0,6.0,23.0,40.0
29,92.0,128.0,40.0,12.0,11.0,10.0,14.0,22.0,20.0
30,81.0,83.0,55.0,11.0,16.0,16.0,20.0,31.0,36.0
31,86.0,89.0,45.0,15.0,15.0,15.0,23.0,22.0,40.0
32,102.0,97.0,42.0,16.0,14.0,15.0,16.0,22.0,26.0
33,110.0,89.0,45.0,9.0,10.0,14.0,14.0,20.0,40.0
34,84.0,121.0,41.0,10.0,14.0,10.0,15.0,30.0,24.0
35,90.0,106.0,48.0,8.0,14.0,10.0,11.0,23.0,40.0
36,104.0,77.0,45.0,17.0,16.0,9.0,23.0,24.0,36.0
37,92.0,98.0,38.0,20.0,16.0,14.0,10.0,22.0,40.0
38,90.0,83.0,51.0,19.0,19.0,14.0,17.0,28.0,29.0
39,93.0,139.0,37.0,12.0,11.0,6.0,17.0,26.0,10.0
40,96.0,131.0,40.0,9.0,8.0,3.0,13.0,23.0,27.0
41,98.0,77.0,52.0,7.0,17.0,13.0,24.0,24.0,38.0
42,95.0,102.0,44.0,10.0,14.0,13.0,23.0,27.0,23.0
43,76.0,138.0,44.0,5.0,10.0,10.0,13.0,27.0,27.0
44,91.0,63.0,49.0,21.0,19.0,18.0,25.0,27.0,37.0
45,75.0,105.0,40.0,20.0,12.0,18.0,19.0,21.0,40.0
46,67.0,94.0,48.0,21.0,16.0,19.0,19.0,26.0,40.0
47,88.0,96.0,45.0,15.0,15.0,14.0,18.0,24.0,35.0
