,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,131.0,77.0,50.0,15.0,6.0,0.0,25.0,26.0,18.0
1,131.0,74.0,49.0,15.0,7.0,4.0,25.0,18.0,23.0
2,76.0,125.0,55.0,10.0,15.0,11.0,2.0,35.0,18.0
3,131.0,80.0,55.0,12.0,9.0,5.0,21.0,11.0,22.0
4,62.0,149.0,46.0,7.0,6.0,12.0,0.0,25.0,40.0
5,95.0,105.0,55.0,11.0,19.0,10.0,1.0,35.0,16.0
6,96.0,75.0,55.0,13.0,25.0,9.0,0.0,35.0,40.0
7,131.0,78.0,36.0,19.0,7.0,19.0,0.0,17.0,39.0
8,91.0,91.0,55.0,14.0,10.0,3.0,25.0,26.0,32.0
9,131.0,71.0,43.0,18.0,7.0,4.0,25.0,23.0,24.0
10,122.0,72.0,46.0,13.0,20.0,11.0,6.0,35.0,21.0
11,110.0,31.0,55.0,15.0,25.0,18.0,24.0,35.0,34.0
12,112.0,62.0,53.0,14.0,23.0,10.0,13.0,35.0,23.0
13,83.0,135.0,49.0,10.0,15.0,5.0,0.0,33.0,14.0
14,40.0,187.0,38.0,6.0,12.0,0.0,9.0,15.0,40.0
15,106.0,87.0,55.0,11.0,20.0,18.0,0.0,35.0,15.0
16,131.0,67.0,41.0,17.0,10.0,6.0,25.0,27.0,23.0
17,81.0,100.0,55.0,10.0,22.0,17.0,0.0,35.0,27.0
18,91.0,119.0,43.0,11.0,8.0,15.0,0.0,21.0,38.0
19,85.0,117.0,55.0,9.0,14.0,15.0,0.0,27.0,25.0
20,89.0,108.0,50.0,11.0,17.0,15.0,0.0,35.0,21.0
21,127.0,72.0,51.0,20.0,7.0,4.0,25.0,31.0,10.0
22,108.0,97.0,47.0,16.0,9.0,8.0,25.0,28.0,9.0
23,122.0,79.0,51.0,33.0,0.0,0.0,25.0,24.0,12.0
24,70.0,124.0,42.0,14.0,20.0,12.0,19.0,35.0,10.0
25,131.0,77.0,34.0,15.0,13.0,11.0,15.0,27.0,23.0
26,95.0,63.0,55.0,12.0,21.0,22.0,14.0,32.0,32.0
27,68.0,133.0,45.0,13.0,22.0,8.0,8.0,35.0,13.0
28,131.0,46.0,46.0,15.0,22.0,7.0,25.0,35.0,20.0
29,57.0,140.0,35.0,14.0,21.0,19.0,16.0,35.0,9.0
30,104.0,111.0,32.0,14.0,7.0,7.0,25.0,21.0,24.0
31,131.0,78.0,44.0,17.0,3.0,0.0,25.0,25.0,25.0
32,107.0,68.0,55.0,16.0,17.0,21.0,0.0,30.0,32.0
33,75.0,99.0,55.0,8.0,24.0,24.0,0.0,31.0,31.0
34,122.0,69.0,43.0,15.0,12.0,5.0,25.0,33.0,21.0
35,79.0,117.0,55.0,13.0,10.0,2.0,9.0,26.0,33.0
36,131.0,81.0,26.0,26.0,7.0,22.0,0.0,13.0,40.0
37,131.0,65.0,50.0,20.0,10.0,0.0,25.0,35.0,12.0
38,117.0,90.0,45.0,14.0,11.0,0.0,25.0,35.0,9.0
39,131.0,65.0,45.0,28.0,7.0,0.0,25.0,35.0,12.0
40,96.0,129.0,44.0,12.0,13.0,5.0,4.0,28.0,14.0
41,131.0,48.0,55.0,30.0,10.0,0.0,25.0,35.0,13.0
42,129.0,69.0,55.0,23.0,4.0,0.0,25.0,35.0,8.0
43,57.0,118.0,48.0,10.0,25.0,14.0,0.0,35.0,40.0
44,66.0,156.0,25.0,17.0,14.0,7.0,21.0,34.0,5.0
45,131.0,67.0,44.0,34.0,3.0,0.0,25.0,31.0,11.0
46,83.0,130.0,42.0,12.0,14.0,10.0,14.0,32.0,7.0
47,79.0,131.0,42.0,13.0,14.0,11.0,17.0,32.0,7.0
