,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,80.0,140.0,29.0,19.0,17.0,22.0,14.0,26.0,0.0
1,125.0,71.0,44.0,32.0,7.0,22.0,24.0,11.0,10.0
2,111.0,95.0,53.0,5.0,7.0,12.0,12.0,14.0,37.0
3,92.0,115.0,32.0,10.0,9.0,22.0,22.0,11.0,33.0
4,116.0,65.0,41.0,27.0,6.0,15.0,10.0,27.0,38.0
5,100.0,128.0,24.0,29.0,6.0,18.0,4.0,3.0,34.0
6,44.0,211.0,22.0,30.0,9.0,5.0,4.0,16.0,4.0
7,59.0,140.0,52.0,23.0,14.0,19.0,8.0,29.0,1.0
8,93.0,171.0,35.0,1.0,1.0,0.0,5.0,7.0,33.0
9,105.0,116.0,36.0,2.0,4.0,17.0,1.0,31.0,34.0
10,59.0,152.0,28.0,34.0,4.0,20.0,16.0,18.0,15.0
11,127.0,85.0,30.0,14.0,5.0,1.0,16.0,32.0,36.0
12,123.0,99.0,44.0,24.0,3.0,6.0,0.0,10.0,36.0
13,40.0,162.0,53.0,23.0,5.0,22.0,5.0,33.0,4.0
14,80.0,185.0,22.0,17.0,1.0,2.0,17.0,11.0,11.0
15,102.0,132.0,37.0,22.0,11.0,17.0,3.0,21.0,1.0
16,67.0,148.0,51.0,4.0,4.0,16.0,15.0,18.0,23.0
17,73.0,144.0,26.0,10.0,22.0,18.0,11.0,11.0,30.0
18,104.0,79.0,42.0,8.0,5.0,21.0,24.0,30.0,31.0
19,128.0,94.0,42.0,3.0,20.0,15.0,9.0,5.0,29.0
20,101.0,102.0,46.0,22.0,16.0,17.0,17.0,14.0,11.0
21,111.0,150.0,30.0,3.0,21.0,18.0,4.0,8.0,0.0
22,75.0,171.0,50.0,7.0,19.0,2.0,13.0,1.0,7.0
23,119.0,80.0,31.0,32.0,10.0,2.0,23.0,21.0,27.0
24,105.0,79.0,39.0,34.0,14.0,4.0,17.0,21.0,33.0
25,52.0,161.0,25.0,28.0,8.0,3.0,14.0,19.0,36.0
26,48.0,130.0,41.0,34.0,11.0,16.0,23.0,32.0,10.0
27,93.0,121.0,34.0,34.0,19.0,17.0,18.0,0.0,9.0
28,112.0,115.0,24.0,14.0,13.0,16.0,13.0,23.0,16.0
29,57.0,190.0,33.0,6.0,12.0,5.0,19.0,14.0,9.0
30,61.0,118.0,46.0,17.0,24.0,3.0,19.0,29.0,28.0
31,122.0,75.0,25.0,34.0,21.0,9.0,16.0,10.0,34.0
32,111.0,63.0,41.0,29.0,24.0,4.0,12.0,24.0,37.0
33,48.0,178.0,43.0,20.0,15.0,1.0,13.0,25.0,2.0
34,124.0,122.0,33.0,21.0,2.0,6.0,23.0,14.0,1.0
35,129.0,77.0,50.0,9.0,9.0,24.0,6.0,21.0,20.0
36,75.0,140.0,37.0,3.0,7.0,17.0,20.0,10.0,36.0
37,113.0,60.0,46.0,24.0,17.0,14.0,12.0,31.0,27.0
38,108.0,135.0,24.0,20.0,16.0,6.0,19.0,11.0,7.0
39,116.0,109.0,37.0,18.0,12.0,0.0,17.0,5.0,32.0
40,63.0,135.0,34.0,31.0,9.0,11.0,16.0,34.0,13.0
41,114.0,110.0,47.0,21.0,4.0,9.0,9.0,3.0,28.0
42,77.0,163.0,22.0,33.0,15.0,20.0,5.0,2.0,9.0
43,121.0,77.0,43.0,30.0,11.0,1.0,1.0,22.0,38.0
44,107.0,122.0,40.0,6.0,11.0,23.0,9.0,23.0,5.0
45,89.0,134.0,28.0,27.0,18.0,6.0,21.0,14.0,7.0
46,66.0,163.0,48.0,26.0,4.0,1.0,1.0,30.0,6.0
47,74.0,130.0,35.0,11.0,13.0,15.0,9.0,31.0,28.0
