,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,83.0,157.0,41.0,17.0,8.0,24.0,2.0,3.0,14.0
1,117.0,41.0,47.0,31.0,22.0,20.0,21.0,13.0,38.0
2,60.0,125.0,44.0,35.0,16.0,9.0,19.0,23.0,19.0
3,54.0,166.0,48.0,21.0,6.0,19.0,17.0,18.0,1.0
4,115.0,123.0,45.0,9.0,2.0,17.0,4.0,2.0,32.0
5,113.0,58.0,41.0,13.0,22.0,17.0,17.0,29.0,40.0
6,64.0,168.0,25.0,30.0,6.0,9.0,6.0,23.0,18.0
7,87.0,125.0,28.0,2.0,17.0,17.0,19.0,19.0,35.0
8,120.0,106.0,36.0,19.0,22.0,5.0,10.0,24.0,8.0
9,96.0,135.0,31.0,17.0,2.0,21.0,14.0,13.0,20.0
10,43.0,181.0,33.0,22.0,5.0,7.0,21.0,19.0,20.0
11,123.0,94.0,45.0,24.0,4.0,14.0,17.0,28.0,1.0
12,61.0,147.0,35.0,23.0,16.0,14.0,4.0,13.0,37.0
13,77.0,147.0,26.0,22.0,23.0,11.0,1.0,9.0,35.0
14,43.0,164.0,30.0,24.0,5.0,19.0,11.0,33.0,21.0
15,63.0,96.0,54.0,15.0,23.0,9.0,24.0,28.0,39.0
16,47.0,138.0,43.0,34.0,14.0,9.0,23.0,26.0,16.0
17,64.0,167.0,21.0,28.0,0.0,20.0,17.0,32.0,2.0
18,128.0,78.0,42.0,34.0,9.0,17.0,21.0,5.0,16.0
19,77.0,137.0,35.0,5.0,10.0,13.0,11.0,22.0,40.0
20,69.0,112.0,40.0,34.0,23.0,12.0,7.0,21.0,32.0
21,76.0,147.0,34.0,15.0,15.0,12.0,12.0,31.0,6.0
22,42.0,157.0,37.0,10.0,12.0,25.0,4.0,31.0,33.0
23,42.0,185.0,41.0,2.0,21.0,9.0,7.0,23.0,20.0
24,96.0,117.0,51.0,14.0,9.0,8.0,1.0,15.0,39.0
25,91.0,113.0,51.0,25.0,24.0,4.0,4.0,12.0,26.0
26,89.0,140.0,37.0,33.0,4.0,4.0,8.0,26.0,10.0
27,131.0,51.0,52.0,28.0,4.0,24.0,14.0,20.0,28.0
28,81.0,132.0,50.0,6.0,5.0,20.0,14.0,9.0,31.0
29,126.0,114.0,37.0,16.0,7.0,0.0,17.0,18.0,15.0
30,48.0,155.0,51.0,20.0,5.0,17.0,16.0,1.0,37.0
31,97.0,119.0,30.0,10.0,24.0,17.0,18.0,9.0,27.0
32,102.0,118.0,24.0,32.0,23.0,12.0,5.0,33.0,1.0
33,111.0,108.0,48.0,20.0,5.0,11.0,0.0,25.0,22.0
34,51.0,152.0,38.0,29.0,24.0,9.0,7.0,22.0,18.0
35,81.0,106.0,49.0,34.0,3.0,24.0,12.0,30.0,11.0
36,72.0,103.0,50.0,10.0,13.0,23.0,24.0,23.0,31.0
37,49.0,187.0,21.0,10.0,15.0,21.0,5.0,13.0,28.0
38,76.0,140.0,48.0,3.0,21.0,23.0,25.0,1.0,13.0
39,95.0,100.0,53.0,23.0,15.0,10.0,5.0,12.0,38.0
40,116.0,102.0,21.0,14.0,3.0,24.0,6.0,30.0,34.0
41,92.0,136.0,25.0,0.0,20.0,20.0,18.0,15.0,24.0
42,92.0,71.0,52.0,32.0,13.0,13.0,25.0,22.0,31.0
43,51.0,172.0,21.0,19.0,16.0,2.0,14.0,23.0,32.0
44,61.0,154.0,50.0,5.0,3.0,11.0,20.0,9.0,37.0
45,128.0,94.0,41.0,20.0,6.0,9.0,15.0,13.0,26.0
46,49.0,173.0,45.0,35.0,2.0,11.0,5.0,5.0,24.0
