,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,104.0,137.0,34.0,18.0,3.0,20.0,12.0,10.0,7.0
1,100.0,143.0,40.0,14.0,7.0,10.0,15.0,5.0,11.0
2,40.0,170.0,55.0,29.0,0.0,0.0,9.0,5.0,40.0
3,75.0,131.0,55.0,0.0,22.0,1.0,23.0,7.0,33.0
4,112.0,86.0,44.0,19.0,5.0,5.0,19.0,27.0,27.0
5,58.0,171.0,27.0,16.0,19.0,6.0,14.0,24.0,11.0
6,109.0,137.0,35.0,12.0,17.0,9.0,8.0,11.0,9.0
7,99.0,173.0,32.0,12.0,6.0,1.0,1.0,14.0,7.0
8,57.0,179.0,31.0,11.0,13.0,11.0,14.0,25.0,6.0
9,108.0,142.0,53.0,0.0,7.0,0.0,15.0,0.0,22.0
10,99.0,127.0,45.0,17.0,14.0,13.0,24.0,0.0,7.0
11,63.0,172.0,33.0,29.0,5.0,15.0,6.0,13.0,9.0
12,92.0,118.0,22.0,31.0,13.0,4.0,20.0,7.0,37.0
13,118.0,134.0,34.0,16.0,0.0,21.0,11.0,5.0,7.0
14,131.0,100.0,33.0,21.0,0.0,12.0,8.0,14.0,27.0
15,74.0,152.0,29.0,7.0,2.0,16.0,10.0,18.0,38.0
16,83.0,159.0,25.0,23.0,11.0,6.0,1.0,4.0,33.0
17,122.0,147.0,28.0,7.0,17.0,8.0,4.0,8.0,5.0
18,61.0,161.0,37.0,20.0,8.0,7.0,20.0,14.0,17.0
19,75.0,171.0,27.0,13.0,12.0,8.0,13.0,16.0,11.0
20,62.0,175.0,32.0,30.0,4.0,15.0,5.0,12.0,9.0
21,59.0,154.0,42.0,10.0,10.0,11.0,15.0,24.0,20.0
22,74.0,142.0,51.0,7.0,4.0,8.0,2.0,32.0,26.0
23,69.0,166.0,34.0,12.0,10.0,9.0,15.0,24.0,7.0
24,62.0,154.0,34.0,15.0,17.0,13.0,15.0,22.0,14.0
25,93.0,125.0,54.0,1.0,24.0,5.0,14.0,1.0,28.0
26,91.0,119.0,33.0,31.0,16.0,19.0,0.0,17.0,20.0
27,64.0,168.0,28.0,14.0,12.0,13.0,14.0,22.0,10.0
28,71.0,171.0,33.0,13.0,9.0,10.0,13.0,19.0,7.0
29,63.0,164.0,33.0,18.0,9.0,12.0,12.0,22.0,13.0
30,91.0,113.0,27.0,22.0,14.0,17.0,22.0,30.0,8.0
31,44.0,161.0,53.0,18.0,1.0,21.0,14.0,10.0,23.0
32,110.0,64.0,43.0,11.0,16.0,24.0,11.0,34.0,34.0
33,81.0,143.0,38.0,17.0,15.0,8.0,13.0,21.0,8.0
34,72.0,142.0,35.0,19.0,14.0,13.0,17.0,21.0,14.0
35,79.0,133.0,36.0,15.0,15.0,15.0,13.0,22.0,16.0
36,80.0,136.0,40.0,23.0,7.0,16.0,14.0,20.0,9.0
37,129.0,93.0,36.0,23.0,12.0,19.0,20.0,13.0,2.0
38,99.0,148.0,39.0,11.0,1.0,18.0,20.0,0.0,11.0
39,83.0,167.0,41.0,26.0,2.0,4.0,19.0,2.0,2.0
40,96.0,123.0,42.0,14.0,10.0,8.0,15.0,7.0,30.0
41,75.0,152.0,34.0,16.0,10.0,14.0,13.0,20.0,11.0
42,129.0,80.0,35.0,6.0,18.0,21.0,24.0,22.0,10.0
43,44.0,172.0,25.0,18.0,23.0,21.0,13.0,11.0,18.0
44,77.0,164.0,47.0,2.0,2.0,5.0,14.0,18.0,18.0
45,42.0,172.0,25.0,28.0,20.0,18.0,15.0,25.0,0.0
46,58.0,129.0,49.0,24.0,22.0,21.0,12.0,28.0,3.0
47,105.0,102.0,25.0,6.0,24.0,22.0,23.0,31.0,8.0
