,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,70.0,187.0,36.0,21.0,8.0,15.0,1.0,0.0,9.0
1,125.0,72.0,21.0,10.0,24.0,17.0,24.0,19.0,34.0
2,100.0,163.0,37.0,0.0,1.0,10.0,7.0,5.0,23.0
3,98.0,167.0,20.0,18.0,6.0,8.0,6.0,12.0,11.0
4,46.0,192.0,37.0,16.0,5.0,23.0,6.0,14.0,6.0
5,121.0,67.0,37.0,34.0,1.0,13.0,20.0,27.0,24.0
6,106.0,172.0,39.0,14.0,4.0,6.0,1.0,1.0,2.0
7,45.0,194.0,44.0,1.0,0.0,8.0,15.0,14.0,25.0
8,94.0,147.0,32.0,20.0,2.0,6.0,22.0,10.0,11.0
9,49.0,126.0,45.0,28.0,23.0,18.0,14.0,10.0,33.0
10,129.0,77.0,32.0,11.0,17.0,1.0,16.0,33.0,28.0
11,97.0,109.0,43.0,18.0,9.0,5.0,24.0,33.0,6.0
12,127.0,62.0,36.0,19.0,14.0,23.0,13.0,30.0,24.0
13,109.0,116.0,45.0,22.0,1.0,13.0,11.0,5.0,23.0
14,123.0,75.0,27.0,32.0,20.0,19.0,9.0,12.0,28.0
15,118.0,122.0,21.0,13.0,13.0,15.0,8.0,1.0,35.0
16,101.0,131.0,25.0,2.0,19.0,21.0,16.0,8.0,23.0
17,44.0,206.0,37.0,11.0,20.0,7.0,17.0,4.0,1.0
18,70.0,120.0,37.0,27.0,21.0,18.0,18.0,26.0,9.0
19,75.0,159.0,22.0,21.0,2.0,22.0,13.0,16.0,15.0
20,67.0,139.0,43.0,19.0,2.0,5.0,8.0,30.0,33.0
21,52.0,186.0,28.0,1.0,19.0,2.0,22.0,11.0,24.0
22,63.0,165.0,46.0,14.0,13.0,11.0,4.0,24.0,6.0
23,86.0,114.0,29.0,34.0,24.0,2.0,0.0,32.0,25.0
24,86.0,129.0,32.0,2.0,16.0,21.0,5.0,32.0,24.0
25,112.0,142.0,20.0,23.0,1.0,8.0,3.0,30.0,7.0
26,115.0,64.0,50.0,19.0,10.0,12.0,20.0,24.0,31.0
27,62.0,190.0,29.0,12.0,24.0,6.0,13.0,5.0,6.0
28,79.0,135.0,35.0,11.0,21.0,17.0,12.0,7.0,30.0
29,75.0,101.0,40.0,20.0,13.0,11.0,20.0,33.0,32.0
30,83.0,153.0,42.0,19.0,14.0,8.0,0.0,7.0,19.0
31,90.0,101.0,28.0,26.0,7.0,15.0,19.0,34.0,25.0
32,70.0,143.0,21.0,29.0,19.0,18.0,16.0,1.0,28.0
33,86.0,140.0,21.0,11.0,1.0,22.0,19.0,24.0,23.0
34,78.0,177.0,24.0,32.0,0.0,8.0,22.0,3.0,1.0
35,90.0,132.0,33.0,2.0,0.0,3.0,19.0,29.0,37.0
36,42.0,187.0,26.0,24.0,11.0,3.0,14.0,5.0,33.0
37,69.0,199.0,24.0,1.0,17.0,2.0,10.0,19.0,4.0
38,81.0,172.0,48.0,10.0,18.0,3.0,2.0,10.0,2.0
39,94.0,168.0,27.0,1.0,8.0,15.0,5.0,24.0,4.0
40,60.0,140.0,24.0,16.0,18.0,12.0,23.0,25.0,27.0
41,61.0,100.0,49.0,24.0,5.0,24.0,21.0,28.0,34.0
42,107.0,97.0,43.0,18.0,0.0,5.0,23.0,31.0,22.0
43,117.0,70.0,32.0,28.0,19.0,21.0,12.0,9.0,36.0
44,73.0,116.0,38.0,14.0,16.0,7.0,23.0,30.0,29.0
45,70.0,108.0,54.0,22.0,22.0,17.0,22.0,15.0,15.0
46,67.0,175.0,37.0,12.0,10.0,13.0,6.0,21.0,3.0
47,70.0,135.0,35.0,11.0,13.0,14.0,7.0,31.0,29.0
