,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,52.0,178.0,38.0,11.0,10.0,0.0,18.0,32.0,7.0
1,121.0,33.0,45.0,26.0,20.0,23.0,15.0,28.0,34.0
2,86.0,136.0,51.0,14.0,11.0,2.0,7.0,30.0,8.0
3,92.0,142.0,36.0,17.0,12.0,0.0,12.0,23.0,12.0
4,120.0,31.0,55.0,22.0,16.0,21.0,22.0,26.0,33.0
5,115.0,108.0,43.0,22.0,8.0,0.0,12.0,25.0,12.0
6,130.0,75.0,48.0,26.0,8.0,0.0,25.0,22.0,12.0
7,130.0,29.0,54.0,21.0,15.0,25.0,17.0,22.0,32.0
8,90.0,118.0,40.0,15.0,13.0,17.0,20.0,28.0,5.0
9,127.0,45.0,55.0,19.0,13.0,15.0,15.0,25.0,32.0
10,121.0,89.0,51.0,2.0,15.0,3.0,24.0,29.0,12.0
11,131.0,56.0,51.0,15.0,14.0,10.0,25.0,27.0,18.0
12,65.0,154.0,49.0,3.0,14.0,7.0,18.0,28.0,8.0
13,131.0,77.0,48.0,16.0,14.0,0.0,14.0,24.0,22.0
14,131.0,79.0,42.0,13.0,13.0,0.0,23.0,23.0,22.0
15,104.0,104.0,55.0,9.0,10.0,0.0,25.0,22.0,18.0
16,119.0,52.0,55.0,12.0,14.0,14.0,25.0,35.0,20.0
17,63.0,141.0,48.0,16.0,12.0,2.0,25.0,31.0,8.0
18,131.0,65.0,47.0,8.0,14.0,13.0,17.0,34.0,18.0
19,78.0,90.0,55.0,20.0,13.0,9.0,25.0,31.0,26.0
20,118.0,110.0,33.0,21.0,10.0,0.0,11.0,32.0,12.0
21,100.0,97.0,55.0,14.0,11.0,0.0,25.0,22.0,23.0
22,88.0,113.0,49.0,23.0,10.0,0.0,24.0,29.0,10.0
23,118.0,37.0,55.0,22.0,15.0,10.0,25.0,32.0,33.0
24,124.0,93.0,49.0,17.0,6.0,0.0,20.0,26.0,13.0
25,41.0,161.0,41.0,11.0,15.0,10.0,24.0,35.0,7.0
26,62.0,176.0,33.0,22.0,12.0,0.0,6.0,24.0,10.0
27,40.0,184.0,55.0,0.0,8.0,0.0,0.0,22.0,39.0
28,126.0,98.0,47.0,5.0,12.0,3.0,9.0,31.0,16.0
29,63.0,124.0,55.0,18.0,13.0,0.0,25.0,26.0,24.0
30,78.0,148.0,39.0,4.0,13.0,0.0,23.0,35.0,7.0
31,118.0,60.0,47.0,24.0,15.0,15.0,5.0,27.0,34.0
32,130.0,100.0,53.0,13.0,9.0,0.0,2.0,26.0,13.0
33,131.0,72.0,55.0,19.0,13.0,0.0,8.0,25.0,24.0
34,99.0,89.0,55.0,21.0,14.0,12.0,2.0,22.0,32.0
35,131.0,89.0,48.0,13.0,14.0,0.0,4.0,29.0,17.0
36,64.0,147.0,48.0,1.0,14.0,6.0,25.0,32.0,8.0
37,49.0,169.0,42.0,9.0,15.0,10.0,10.0,35.0,8.0
38,68.0,151.0,48.0,15.0,5.0,0.0,25.0,23.0,11.0
39,40.0,176.0,43.0,12.0,13.0,10.0,16.0,28.0,8.0
40,116.0,107.0,43.0,3.0,10.0,2.0,19.0,29.0,16.0
41,131.0,67.0,55.0,10.0,13.0,0.0,25.0,26.0,19.0
42,131.0,85.0,35.0,12.0,14.0,0.0,25.0,29.0,16.0
43,66.0,152.0,41.0,16.0,14.0,2.0,11.0,35.0,8.0
44,114.0,65.0,55.0,17.0,14.0,0.0,25.0,33.0,23.0
45,103.0,91.0,36.0,25.0,14.0,19.0,1.0,21.0,35.0
46,113.0,47.0,55.0,25.0,21.0,16.0,6.0,30.0,34.0
47,64.0,149.0,42.0,11.0,14.0,8.0,18.0,32.0,7.0
