,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,113.0,87.0,46.0,16.0,10.0,16.0,8.0,23.0,27.0
1,96.0,109.0,38.0,14.0,15.0,13.0,10.0,35.0,16.0
2,84.0,71.0,46.0,29.0,17.0,22.0,17.0,33.0,28.0
3,131.0,41.0,55.0,15.0,14.0,12.0,25.0,24.0,29.0
4,51.0,104.0,55.0,20.0,19.0,25.0,19.0,21.0,32.0
5,131.0,51.0,37.0,21.0,16.0,9.0,25.0,35.0,22.0
6,122.0,76.0,38.0,15.0,12.0,20.0,0.0,25.0,37.0
7,130.0,48.0,50.0,11.0,14.0,14.0,20.0,35.0,25.0
8,90.0,124.0,33.0,14.0,8.0,9.0,25.0,35.0,7.0
9,115.0,115.0,32.0,17.0,4.0,3.0,25.0,27.0,8.0
10,111.0,91.0,47.0,17.0,10.0,4.0,14.0,35.0,16.0
11,131.0,80.0,46.0,11.0,10.0,13.0,3.0,27.0,26.0
12,131.0,48.0,55.0,10.0,14.0,12.0,19.0,31.0,26.0
13,103.0,103.0,55.0,20.0,8.0,0.0,25.0,19.0,15.0
14,108.0,62.0,46.0,27.0,15.0,21.0,7.0,32.0,28.0
15,110.0,65.0,40.0,26.0,11.0,19.0,22.0,15.0,38.0
16,93.0,83.0,55.0,13.0,12.0,19.0,13.0,30.0,28.0
17,131.0,100.0,42.0,11.0,7.0,0.0,14.0,18.0,24.0
18,104.0,74.0,55.0,10.0,14.0,20.0,8.0,35.0,27.0
19,127.0,56.0,55.0,5.0,14.0,5.0,25.0,32.0,27.0
20,119.0,101.0,36.0,13.0,6.0,3.0,25.0,35.0,8.0
21,97.0,80.0,46.0,19.0,14.0,18.0,24.0,18.0,30.0
22,131.0,51.0,40.0,17.0,11.0,11.0,25.0,35.0,25.0
23,104.0,129.0,31.0,11.0,9.0,7.0,12.0,35.0,7.0
24,111.0,130.0,30.0,10.0,11.0,0.0,12.0,35.0,7.0
25,72.0,94.0,55.0,18.0,19.0,25.0,6.0,25.0,34.0
26,131.0,45.0,55.0,19.0,9.0,4.0,22.0,33.0,28.0
27,131.0,39.0,55.0,26.0,13.0,9.0,11.0,35.0,28.0
28,106.0,65.0,55.0,7.0,16.0,9.0,25.0,35.0,28.0
29,91.0,86.0,45.0,18.0,25.0,9.0,0.0,33.0,38.0
30,131.0,41.0,39.0,25.0,15.0,10.0,25.0,34.0,26.0
31,62.0,96.0,55.0,17.0,25.0,21.0,5.0,31.0,35.0
32,62.0,102.0,55.0,19.0,13.0,13.0,25.0,27.0,30.0
33,93.0,114.0,39.0,13.0,16.0,14.0,6.0,35.0,16.0
34,131.0,68.0,55.0,3.0,12.0,0.0,19.0,35.0,24.0
35,131.0,59.0,49.0,11.0,8.0,10.0,25.0,28.0,24.0
36,131.0,23.0,55.0,17.0,14.0,23.0,25.0,34.0,25.0
37,111.0,95.0,20.0,19.0,13.0,11.0,12.0,27.0,38.0
38,78.0,144.0,34.0,11.0,13.0,5.0,19.0,35.0,6.0
39,131.0,56.0,54.0,21.0,9.0,0.0,24.0,35.0,16.0
40,90.0,121.0,47.0,13.0,12.0,13.0,1.0,35.0,14.0
41,83.0,82.0,55.0,20.0,12.0,21.0,18.0,25.0,29.0
42,131.0,46.0,49.0,26.0,14.0,0.0,25.0,28.0,28.0
43,109.0,83.0,32.0,15.0,17.0,12.0,25.0,35.0,19.0
44,131.0,114.0,33.0,18.0,2.0,0.0,17.0,23.0,9.0
45,131.0,93.0,37.0,18.0,9.0,0.0,6.0,26.0,26.0
46,108.0,126.0,32.0,12.0,4.0,12.0,9.0,34.0,8.0
47,75.0,140.0,39.0,12.0,13.0,9.0,18.0,33.0,7.0
