,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,102.0,123.0,54.0,9.0,18.0,16.0,1.0,3.0,19.0
1,119.0,132.0,21.0,0.0,3.0,7.0,24.0,21.0,19.0
2,98.0,78.0,49.0,34.0,10.0,20.0,22.0,2.0,33.0
3,65.0,147.0,41.0,17.0,21.0,24.0,20.0,4.0,6.0
4,67.0,171.0,21.0,9.0,6.0,19.0,19.0,33.0,0.0
5,79.0,163.0,43.0,1.0,3.0,23.0,24.0,6.0,4.0
6,69.0,149.0,35.0,11.0,23.0,8.0,24.0,20.0,8.0
7,75.0,117.0,41.0,10.0,19.0,19.0,4.0,28.0,33.0
8,73.0,155.0,31.0,23.0,12.0,13.0,2.0,17.0,19.0
9,41.0,180.0,51.0,7.0,21.0,17.0,3.0,10.0,15.0
10,56.0,144.0,24.0,34.0,4.0,24.0,15.0,24.0,22.0
11,42.0,159.0,26.0,30.0,1.0,10.0,18.0,33.0,27.0
12,45.0,200.0,37.0,22.0,11.0,14.0,4.0,1.0,11.0
13,84.0,150.0,27.0,18.0,5.0,12.0,11.0,28.0,10.0
14,100.0,150.0,44.0,16.0,19.0,0.0,7.0,4.0,3.0
15,44.0,165.0,38.0,5.0,22.0,21.0,2.0,9.0,39.0
16,90.0,176.0,20.0,4.0,21.0,4.0,2.0,26.0,3.0
17,123.0,89.0,48.0,10.0,2.0,5.0,1.0,34.0,35.0
18,113.0,75.0,54.0,8.0,21.0,12.0,19.0,33.0,11.0
19,128.0,111.0,29.0,27.0,8.0,2.0,14.0,24.0,3.0
20,106.0,73.0,44.0,18.0,14.0,5.0,15.0,33.0,37.0
21,130.0,103.0,46.0,13.0,12.0,11.0,21.0,7.0,3.0
22,41.0,201.0,31.0,22.0,0.0,4.0,11.0,3.0,33.0
23,58.0,199.0,22.0,6.0,18.0,13.0,15.0,12.0,3.0
24,114.0,89.0,37.0,18.0,4.0,15.0,22.0,29.0,18.0
25,90.0,131.0,37.0,33.0,6.0,3.0,5.0,8.0,33.0
26,120.0,94.0,47.0,5.0,17.0,16.0,18.0,22.0,6.0
27,62.0,199.0,24.0,12.0,4.0,1.0,14.0,26.0,2.0
28,110.0,124.0,22.0,34.0,3.0,20.0,5.0,22.0,6.0
29,44.0,163.0,38.0,18.0,7.0,20.0,4.0,19.0,33.0
30,58.0,168.0,25.0,19.0,9.0,13.0,21.0,13.0,21.0
31,117.0,106.0,36.0,26.0,11.0,3.0,24.0,3.0,20.0
32,55.0,133.0,52.0,12.0,12.0,1.0,22.0,25.0,34.0
33,85.0,158.0,30.0,28.0,0.0,7.0,18.0,16.0,3.0
34,116.0,112.0,20.0,7.0,8.0,15.0,18.0,14.0,35.0
35,80.0,159.0,26.0,23.0,22.0,0.0,3.0,22.0,10.0
36,123.0,92.0,41.0,8.0,24.0,16.0,4.0,14.0,22.0
37,114.0,133.0,45.0,2.0,5.0,21.0,15.0,10.0,0.0
38,92.0,115.0,49.0,25.0,13.0,6.0,2.0,21.0,22.0
39,79.0,144.0,26.0,15.0,16.0,14.0,11.0,9.0,32.0
40,81.0,131.0,44.0,18.0,15.0,20.0,14.0,7.0,16.0
41,117.0,73.0,50.0,3.0,13.0,22.0,18.0,27.0,22.0
42,60.0,181.0,29.0,8.0,11.0,10.0,5.0,7.0,34.0
43,107.0,125.0,30.0,29.0,21.0,16.0,9.0,7.0,1.0
44,127.0,68.0,25.0,8.0,11.0,24.0,17.0,29.0,36.0
45,121.0,99.0,42.0,4.0,17.0,15.0,7.0,23.0,18.0
46,126.0,69.0,23.0,24.0,22.0,20.0,21.0,7.0,33.0
47,58.0,161.0,36.0,19.0,10.0,12.0,12.0,21.0,17.0
