,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,105.0,80.0,46.0,34.0,6.0,0.0,20.0,24.0,32.0
1,95.0,46.0,53.0,17.0,24.0,19.0,24.0,28.0,40.0
2,91.0,121.0,47.0,14.0,12.0,12.0,25.0,26.0,0.0
3,87.0,106.0,39.0,13.0,12.0,21.0,10.0,18.0,40.0
4,53.0,121.0,43.0,34.0,20.0,19.0,1.0,15.0,40.0
5,96.0,101.0,49.0,32.0,5.0,0.0,25.0,23.0,16.0
6,80.0,111.0,43.0,11.0,11.0,20.0,10.0,20.0,40.0
7,57.0,140.0,40.0,14.0,15.0,19.0,9.0,16.0,36.0
8,131.0,100.0,24.0,16.0,10.0,11.0,12.0,15.0,27.0
9,100.0,54.0,48.0,20.0,23.0,11.0,24.0,26.0,40.0
10,97.0,114.0,44.0,18.0,13.0,12.0,21.0,25.0,2.0
11,97.0,108.0,37.0,15.0,15.0,12.0,25.0,30.0,7.0
12,103.0,91.0,48.0,25.0,8.0,0.0,25.0,27.0,19.0
13,119.0,76.0,38.0,29.0,8.0,4.0,25.0,21.0,26.0
14,67.0,132.0,32.0,15.0,14.0,21.0,9.0,15.0,40.0
15,96.0,90.0,48.0,17.0,14.0,13.0,25.0,30.0,13.0
16,103.0,105.0,37.0,29.0,5.0,0.0,25.0,24.0,19.0
17,58.0,136.0,39.0,12.0,13.0,21.0,11.0,17.0,40.0
18,118.0,56.0,55.0,28.0,9.0,2.0,23.0,24.0,31.0
19,89.0,126.0,40.0,11.0,14.0,10.0,23.0,33.0,1.0
20,102.0,77.0,40.0,14.0,18.0,17.0,25.0,31.0,23.0
21,113.0,99.0,51.0,26.0,9.0,2.0,25.0,20.0,1.0
22,81.0,105.0,50.0,14.0,15.0,11.0,25.0,29.0,15.0
23,85.0,117.0,48.0,12.0,11.0,12.0,22.0,32.0,6.0
24,88.0,128.0,30.0,11.0,13.0,12.0,25.0,31.0,8.0
25,79.0,128.0,35.0,10.0,11.0,18.0,25.0,29.0,11.0
26,71.0,133.0,46.0,12.0,13.0,12.0,24.0,31.0,5.0
27,122.0,94.0,32.0,28.0,5.0,0.0,24.0,20.0,21.0
28,89.0,132.0,39.0,14.0,13.0,2.0,25.0,32.0,1.0
29,95.0,55.0,49.0,16.0,22.0,13.0,25.0,32.0,38.0
30,74.0,122.0,51.0,11.0,18.0,11.0,22.0,31.0,6.0
31,79.0,105.0,50.0,14.0,18.0,3.0,25.0,33.0,18.0
32,93.0,118.0,24.0,17.0,12.0,19.0,8.0,15.0,40.0
33,97.0,90.0,28.0,18.0,13.0,24.0,20.0,17.0,40.0
34,86.0,91.0,48.0,12.0,20.0,15.0,25.0,32.0,18.0
35,83.0,111.0,49.0,12.0,15.0,17.0,25.0,32.0,2.0
36,70.0,147.0,21.0,17.0,13.0,20.0,3.0,15.0,40.0
37,99.0,108.0,41.0,9.0,15.0,19.0,17.0,32.0,6.0
38,61.0,154.0,46.0,11.0,14.0,6.0,24.0,28.0,1.0
39,96.0,119.0,49.0,7.0,10.0,10.0,0.0,21.0,35.0
40,113.0,69.0,29.0,27.0,12.0,14.0,25.0,20.0,38.0
41,65.0,144.0,55.0,12.0,14.0,0.0,14.0,30.0,12.0
42,92.0,76.0,33.0,17.0,22.0,13.0,25.0,27.0,40.0
43,75.0,110.0,55.0,8.0,9.0,17.0,10.0,22.0,40.0
44,91.0,132.0,49.0,12.0,13.0,2.0,16.0,31.0,0.0
45,75.0,152.0,34.0,6.0,12.0,17.0,20.0,30.0,0.0
46,88.0,103.0,55.0,17.0,12.0,4.0,25.0,29.0,14.0
47,82.0,112.0,45.0,10.0,11.0,15.0,11.0,21.0,38.0
