,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,131.0,70.0,39.0,23.0,16.0,10.0,1.0,29.0,27.0
1,87.0,121.0,43.0,15.0,9.0,0.0,25.0,35.0,12.0
2,99.0,97.0,54.0,10.0,11.0,8.0,7.0,31.0,29.0
3,104.0,90.0,44.0,13.0,14.0,10.0,12.0,31.0,27.0
4,106.0,87.0,43.0,17.0,14.0,9.0,12.0,32.0,26.0
5,85.0,103.0,55.0,18.0,15.0,14.0,11.0,35.0,10.0
6,99.0,97.0,45.0,16.0,16.0,10.0,2.0,34.0,26.0
7,131.0,62.0,43.0,16.0,18.0,13.0,1.0,34.0,28.0
8,110.0,74.0,55.0,18.0,9.0,11.0,25.0,35.0,10.0
9,131.0,86.0,43.0,24.0,10.0,3.0,5.0,17.0,27.0
10,84.0,128.0,53.0,16.0,9.0,0.0,8.0,35.0,13.0
11,102.0,72.0,51.0,17.0,21.0,17.0,2.0,28.0,36.0
12,131.0,46.0,41.0,20.0,12.0,20.0,22.0,19.0,35.0
13,85.0,97.0,52.0,15.0,17.0,16.0,0.0,27.0,36.0
14,131.0,53.0,41.0,27.0,15.0,10.0,19.0,19.0,31.0
15,109.0,92.0,49.0,16.0,15.0,11.0,9.0,35.0,10.0
16,113.0,53.0,47.0,18.0,25.0,19.0,8.0,27.0,37.0
17,131.0,72.0,38.0,24.0,16.0,12.0,0.0,24.0,28.0
18,112.0,67.0,53.0,14.0,18.0,22.0,0.0,25.0,35.0
19,131.0,58.0,55.0,15.0,16.0,10.0,0.0,33.0,30.0
20,120.0,73.0,55.0,7.0,15.0,15.0,3.0,27.0,30.0
21,131.0,69.0,46.0,26.0,11.0,7.0,3.0,24.0,28.0
22,63.0,130.0,51.0,16.0,19.0,19.0,3.0,35.0,11.0
23,128.0,73.0,46.0,11.0,17.0,17.0,0.0,27.0,28.0
24,79.0,95.0,54.0,17.0,23.0,9.0,2.0,35.0,32.0
25,131.0,56.0,47.0,31.0,17.0,10.0,0.0,24.0,29.0
26,98.0,100.0,44.0,7.0,15.0,14.0,11.0,29.0,28.0
27,118.0,71.0,55.0,15.0,9.0,16.0,0.0,25.0,37.0
28,60.0,140.0,49.0,12.0,12.0,13.0,0.0,24.0,37.0
29,98.0,83.0,55.0,12.0,20.0,12.0,0.0,33.0,34.0
30,131.0,73.0,40.0,31.0,14.0,9.0,0.0,19.0,28.0
31,131.0,67.0,40.0,21.0,18.0,16.0,0.0,25.0,29.0
32,59.0,167.0,55.0,13.0,8.0,0.0,0.0,29.0,15.0
33,101.0,91.0,55.0,26.0,3.0,0.0,25.0,33.0,13.0
34,122.0,63.0,46.0,15.0,13.0,23.0,9.0,20.0,35.0
35,83.0,137.0,55.0,11.0,11.0,10.0,0.0,24.0,16.0
36,131.0,45.0,49.0,15.0,22.0,20.0,0.0,34.0,31.0
37,131.0,35.0,55.0,14.0,20.0,25.0,0.0,32.0,35.0
38,77.0,113.0,49.0,17.0,15.0,17.0,15.0,34.0,8.0
39,47.0,156.0,55.0,24.0,7.0,0.0,11.0,35.0,13.0
40,100.0,114.0,41.0,13.0,17.0,15.0,1.0,35.0,10.0
41,69.0,122.0,55.0,6.0,15.0,13.0,10.0,28.0,28.0
42,119.0,75.0,43.0,4.0,12.0,18.0,19.0,28.0,28.0
43,116.0,85.0,54.0,14.0,14.0,7.0,0.0,28.0,28.0
44,100.0,92.0,51.0,17.0,17.0,7.0,0.0,35.0,28.0
45,131.0,50.0,53.0,15.0,22.0,17.0,0.0,25.0,33.0
46,121.0,79.0,55.0,18.0,16.0,6.0,4.0,35.0,13.0
47,109.0,83.0,47.0,14.0,14.0,10.0,11.0,30.0,27.0
