,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,109.0,85.0,44.0,31.0,19.0,2.0,12.0,7.0,36.0
1,112.0,129.0,53.0,4.0,5.0,0.0,4.0,25.0,13.0
2,59.0,160.0,31.0,31.0,6.0,23.0,13.0,14.0,7.0
3,100.0,75.0,33.0,23.0,16.0,21.0,17.0,28.0,33.0
4,97.0,146.0,23.0,27.0,17.0,7.0,18.0,7.0,3.0
5,63.0,112.0,28.0,33.0,16.0,18.0,22.0,21.0,33.0
6,116.0,95.0,27.0,7.0,22.0,23.0,15.0,4.0,36.0
7,79.0,77.0,53.0,13.0,21.0,21.0,23.0,28.0,31.0
8,107.0,146.0,25.0,3.0,16.0,9.0,2.0,16.0,21.0
9,110.0,95.0,48.0,11.0,21.0,7.0,13.0,21.0,20.0
10,124.0,106.0,51.0,29.0,12.0,3.0,3.0,0.0,18.0
11,106.0,132.0,20.0,1.0,21.0,15.0,21.0,12.0,18.0
12,51.0,177.0,21.0,28.0,2.0,19.0,6.0,15.0,27.0
13,46.0,197.0,40.0,29.0,4.0,14.0,5.0,7.0,3.0
14,120.0,80.0,44.0,32.0,20.0,10.0,6.0,21.0,13.0
15,110.0,93.0,31.0,31.0,24.0,17.0,1.0,24.0,15.0
16,117.0,129.0,35.0,14.0,0.0,9.0,22.0,19.0,1.0
17,125.0,134.0,29.0,9.0,6.0,20.0,6.0,10.0,7.0
18,97.0,147.0,37.0,3.0,22.0,1.0,19.0,1.0,18.0
19,63.0,158.0,36.0,1.0,23.0,19.0,21.0,7.0,18.0
20,96.0,128.0,47.0,3.0,5.0,3.0,24.0,31.0,8.0
21,82.0,171.0,45.0,10.0,11.0,1.0,14.0,6.0,6.0
22,69.0,122.0,44.0,29.0,8.0,11.0,21.0,20.0,22.0
23,75.0,140.0,34.0,12.0,12.0,15.0,1.0,33.0,23.0
24,83.0,148.0,34.0,0.0,24.0,8.0,17.0,32.0,0.0
25,119.0,76.0,54.0,30.0,11.0,7.0,24.0,6.0,18.0
26,45.0,167.0,23.0,8.0,19.0,23.0,12.0,24.0,26.0
27,79.0,164.0,20.0,11.0,15.0,9.0,20.0,12.0,15.0
28,124.0,72.0,54.0,0.0,3.0,15.0,18.0,33.0,27.0
29,110.0,123.0,21.0,17.0,6.0,6.0,12.0,24.0,27.0
30,98.0,115.0,42.0,34.0,1.0,12.0,6.0,34.0,3.0
31,57.0,156.0,31.0,22.0,5.0,23.0,22.0,18.0,11.0
32,114.0,87.0,50.0,32.0,15.0,18.0,3.0,3.0,23.0
33,68.0,184.0,38.0,11.0,4.0,12.0,2.0,2.0,25.0
34,84.0,127.0,50.0,19.0,1.0,23.0,21.0,7.0,15.0
35,66.0,159.0,34.0,8.0,8.0,20.0,0.0,29.0,22.0
36,41.0,185.0,38.0,12.0,18.0,6.0,17.0,10.0,20.0
37,109.0,143.0,22.0,4.0,8.0,2.0,21.0,12.0,25.0
38,74.0,102.0,42.0,24.0,15.0,15.0,19.0,17.0,36.0
39,82.0,164.0,31.0,31.0,9.0,8.0,1.0,11.0,7.0
40,112.0,108.0,35.0,33.0,22.0,6.0,6.0,23.0,1.0
41,87.0,121.0,33.0,18.0,7.0,13.0,22.0,19.0,26.0
42,84.0,91.0,46.0,20.0,20.0,10.0,4.0,34.0,37.0
43,40.0,225.0,41.0,4.0,6.0,9.0,2.0,16.0,4.0
44,84.0,121.0,48.0,32.0,0.0,17.0,1.0,28.0,14.0
45,116.0,92.0,23.0,25.0,12.0,7.0,9.0,27.0,35.0
46,121.0,70.0,33.0,32.0,20.0,20.0,12.0,23.0,13.0
47,115.0,120.0,26.0,7.0,11.0,8.0,3.0,23.0,32.0
