,CTAB-stock,water-stock,GC-stock,AG-stock,HCl-stock,NaOH-stock,NaCl-stock,AA-stock,SEEDS-stock
0,80.0,176.0,24.0,6.0,18.0,6.0,10.0,7.0,19.0
1,67.0,170.0,46.0,9.0,2.0,21.0,6.0,23.0,2.0
2,50.0,178.0,24.0,22.0,8.0,22.0,17.0,23.0,2.0
3,125.0,106.0,33.0,15.0,20.0,11.0,2.0,11.0,22.0
4,95.0,129.0,52.0,3.0,2.0,3.0,13.0,33.0,16.0
5,46.0,118.0,40.0,27.0,10.0,24.0,23.0,33.0,25.0
6,60.0,143.0,32.0,24.0,0.0,21.0,22.0,28.0,14.0
7,45.0,151.0,34.0,15.0,21.0,24.0,10.0,22.0,22.0
8,80.0,148.0,36.0,24.0,12.0,6.0,11.0,0.0,27.0
9,76.0,123.0,27.0,22.0,7.0,13.0,17.0,24.0,35.0
10,98.0,123.0,46.0,9.0,1.0,24.0,20.0,5.0,19.0
11,50.0,195.0,47.0,16.0,2.0,1.0,2.0,19.0,15.0
12,45.0,180.0,20.0,12.0,8.0,24.0,9.0,27.0,21.0
13,96.0,155.0,38.0,7.0,0.0,19.0,3.0,12.0,16.0
14,67.0,158.0,39.0,18.0,6.0,10.0,12.0,21.0,14.0
15,45.0,116.0,50.0,34.0,9.0,12.0,23.0,21.0,35.0
16,85.0,148.0,28.0,8.0,17.0,11.0,7.0,31.0,11.0
17,96.0,103.0,24.0,18.0,19.0,24.0,23.0,5.0,35.0
18,79.0,141.0,53.0,22.0,22.0,13.0,0.0,8.0,8.0
19,93.0,88.0,41.0,23.0,23.0,12.0,10.0,21.0,34.0
20,106.0,82.0,52.0,11.0,1.0,23.0,4.0,29.0,37.0
21,92.0,132.0,33.0,13.0,6.0,22.0,8.0,31.0,8.0
22,41.0,167.0,36.0,7.0,15.0,21.0,0.0,21.0,37.0
23,100.0,101.0,37.0,26.0,22.0,9.0,24.0,6.0,20.0
24,104.0,172.0,30.0,9.0,1.0,7.0,14.0,4.0,3.0
25,121.0,114.0,21.0,15.0,23.0,22.0,5.0,24.0,0.0
26,59.0,160.0,27.0,17.0,3.0,4.0,14.0,26.0,35.0
27,74.0,142.0,23.0,1.0,20.0,10.0,17.0,23.0,36.0
28,96.0,107.0,43.0,17.0,0.0,9.0,19.0,23.0,32.0
29,41.0,174.0,44.0,30.0,15.0,3.0,2.0,3.0,34.0
30,100.0,132.0,32.0,9.0,22.0,11.0,2.0,21.0,18.0
31,41.0,175.0,36.0,12.0,10.0,13.0,15.0,18.0,24.0
32,42.0,204.0,30.0,9.0,17.0,13.0,5.0,12.0,14.0
33,101.0,161.0,27.0,9.0,2.0,13.0,21.0,11.0,1.0
34,106.0,122.0,26.0,7.0,0.0,11.0,11.0,25.0,37.0
35,109.0,121.0,45.0,29.0,6.0,21.0,6.0,4.0,4.0
36,105.0,151.0,21.0,1.0,12.0,4.0,18.0,6.0,27.0
37,85.0,98.0,33.0,22.0,7.0,22.0,14.0,32.0,32.0
38,72.0,118.0,53.0,28.0,20.0,24.0,6.0,4.0,21.0
39,90.0,128.0,37.0,25.0,21.0,11.0,7.0,4.0,22.0
40,60.0,187.0,46.0,12.0,13.0,4.0,8.0,1.0,15.0
41,48.0,159.0,21.0,28.0,20.0,9.0,17.0,19.0,25.0
42,125.0,91.0,41.0,15.0,19.0,5.0,23.0,3.0,22.0
43,86.0,138.0,25.0,21.0,14.0,16.0,17.0,24.0,4.0
44,128.0,22.0,52.0,15.0,19.0,24.0,17.0,30.0,38.0
45,116.0,100.0,34.0,18.0,5.0,21.0,15.0,27.0,10.0
46,60.0,172.0,31.0,4.0,22.0,18.0,1.0,22.0,14.0
47,43.0,155.0,53.0,13.0,6.0,16.0,12.0,14.0,35.0
