,CTAB-stock,water-stock,GC-stock,AG-stock,AA-stock,SEEDS-stock
0,112.0,87.0,69.0,32.0,21.0,28.0
1,112.0,94.0,69.0,25.0,22.0,28.0
2,112.0,88.0,69.0,30.0,23.0,28.0
3,112.0,94.0,69.0,17.0,31.0,28.0
4,112.0,89.0,69.0,30.0,22.0,28.0
5,112.0,103.0,69.0,0.0,38.0,28.0
6,112.0,72.0,69.0,30.0,39.0,28.0
7,112.0,96.0,69.0,24.0,21.0,28.0
8,112.0,100.0,69.0,0.0,41.0,28.0
9,112.0,93.0,69.0,27.0,21.0,28.0
10,112.0,78.0,69.0,41.0,22.0,28.0
11,112.0,59.0,69.0,41.0,41.0,28.0
12,112.0,84.0,69.0,16.0,41.0,28.0
13,112.0,69.0,69.0,41.0,31.0,28.0
14,112.0,92.0,69.0,29.0,20.0,28.0
15,112.0,80.0,69.0,24.0,36.0,28.0
16,112.0,89.0,69.0,18.0,34.0,28.0
17,112.0,76.0,69.0,24.0,41.0,28.0
18,112.0,67.0,69.0,41.0,33.0,28.0
19,112.0,86.0,69.0,34.0,21.0,28.0
20,112.0,111.0,69.0,14.0,16.0,28.0
21,112.0,105.0,69.0,22.0,14.0,28.0
22,112.0,123.0,69.0,6.0,12.0,28.0
23,112.0,86.0,69.0,20.0,35.0,28.0
24,112.0,113.0,69.0,15.0,13.0,28.0
25,112.0,106.0,69.0,15.0,20.0,28.0
26,112.0,138.0,69.0,2.0,2.0,28.0
27,112.0,95.0,69.0,24.0,22.0,28.0
28,112.0,82.0,69.0,28.0,31.0,28.0
29,112.0,91.0,69.0,27.0,23.0,28.0
30,112.0,95.0,69.0,5.0,41.0,28.0
31,112.0,98.0,69.0,26.0,17.0,28.0
32,112.0,100.0,69.0,0.0,41.0,28.0
33,112.0,83.0,69.0,32.0,25.0,28.0
34,112.0,94.0,69.0,27.0,21.0,28.0
35,112.0,74.0,69.0,35.0,32.0,28.0
36,112.0,65.0,69.0,35.0,41.0,28.0
37,112.0,59.0,69.0,41.0,41.0,28.0
38,112.0,71.0,69.0,29.0,41.0,28.0
39,112.0,71.0,69.0,35.0,35.0,28.0
0,112.0,87.0,69.0,34.0,20.0,28.0
