,CTAB-stock,water-stock,GC-stock,AG-stock,AA-stock,SEEDS-stock
0,112.0,90.0,69.0,29.0,22.0,28.0
1,112.0,100.0,69.0,0.0,41.0,28.0
2,112.0,80.0,69.0,40.0,22.0,28.0
3,112.0,85.0,69.0,22.0,34.0,28.0
4,112.0,89.0,69.0,30.0,22.0,28.0
5,112.0,100.0,69.0,29.0,12.0,28.0
6,112.0,87.0,69.0,29.0,25.0,28.0
7,112.0,84.0,69.0,16.0,41.0,28.0
8,112.0,92.0,69.0,27.0,21.0,28.0
9,112.0,91.0,69.0,28.0,21.0,28.0
10,112.0,93.0,69.0,27.0,21.0,28.0
11,112.0,89.0,69.0,29.0,22.0,28.0
12,112.0,87.0,69.0,29.0,25.0,28.0
13,112.0,69.0,69.0,41.0,31.0,28.0
14,112.0,90.0,69.0,29.0,22.0,28.0
15,112.0,89.0,69.0,27.0,25.0,28.0
16,112.0,100.0,69.0,0.0,41.0,28.0
17,112.0,83.0,69.0,17.0,41.0,28.0
18,112.0,80.0,69.0,41.0,20.0,28.0
19,112.0,87.0,69.0,30.0,23.0,28.0
20,112.0,98.0,69.0,8.0,35.0,28.0
21,112.0,113.0,69.0,16.0,12.0,28.0
22,112.0,98.0,69.0,8.0,35.0,28.0
23,112.0,100.0,69.0,0.0,41.0,28.0
24,112.0,82.0,69.0,28.0,32.0,28.0
25,112.0,99.0,69.0,10.0,32.0,28.0
26,112.0,134.0,69.0,0.0,7.0,28.0
27,112.0,97.0,69.0,36.0,8.0,28.0
28,112.0,116.0,69.0,2.0,23.0,28.0
29,112.0,90.0,69.0,30.0,21.0,28.0
30,112.0,76.0,69.0,29.0,37.0,28.0
31,112.0,90.0,69.0,19.0,32.0,28.0
32,112.0,97.0,69.0,19.0,25.0,28.0
33,112.0,88.0,69.0,27.0,25.0,28.0
34,112.0,91.0,69.0,30.0,20.0,28.0
35,112.0,87.0,69.0,23.0,30.0,28.0
36,112.0,100.0,69.0,0.0,41.0,28.0
37,112.0,81.0,69.0,30.0,30.0,28.0
38,112.0,82.0,69.0,41.0,18.0,28.0
39,112.0,83.0,69.0,38.0,20.0,28.0
0,112.0,87.0,69.0,34.0,20.0,28.0
