,CTAB-stock,water-stock,GC-stock,AG-stock,AA-stock,SEEDS-stock
0,416.0,329.0,256.0,50.0,147.0,102.0
1,416.0,347.0,256.0,44.0,134.0,102.0
2,416.0,319.0,256.0,67.0,140.0,102.0
3,416.0,337.0,256.0,53.0,136.0,102.0
4,416.0,344.0,256.0,71.0,111.0,102.0
5,416.0,344.0,256.0,100.0,82.0,102.0
6,416.0,372.0,256.0,111.0,44.0,102.0
7,416.0,344.0,256.0,90.0,92.0,102.0
8,416.0,254.0,256.0,129.0,143.0,102.0
9,416.0,324.0,256.0,117.0,85.0,102.0
10,416.0,348.0,256.0,85.0,93.0,102.0
11,416.0,463.0,256.0,0.0,49.0,102.0
12,416.0,306.0,256.0,150.0,70.0,102.0
13,416.0,375.0,256.0,24.0,127.0,102.0
14,416.0,352.0,256.0,80.0,93.0,102.0
15,416.0,467.0,256.0,0.0,49.0,102.0
16,416.0,390.0,256.0,81.0,55.0,102.0
17,416.0,487.0,256.0,0.0,29.0,102.0
18,416.0,274.0,256.0,135.0,117.0,102.0
19,416.0,325.0,256.0,111.0,90.0,102.0
20,416.0,325.0,256.0,132.0,70.0,102.0
21,416.0,474.0,256.0,42.0,0.0,102.0
22,416.0,466.0,256.0,50.0,0.0,102.0
23,416.0,298.0,256.0,78.0,150.0,102.0
24,416.0,390.0,256.0,0.0,125.0,102.0
25,416.0,348.0,256.0,101.0,77.0,102.0
26,416.0,487.0,256.0,29.0,0.0,102.0
27,416.0,253.0,256.0,125.0,148.0,102.0
28,416.0,425.0,256.0,91.0,0.0,102.0
29,416.0,375.0,256.0,0.0,136.0,102.0
30,416.0,308.0,256.0,111.0,107.0,102.0
31,416.0,416.0,256.0,0.0,99.0,102.0
32,416.0,417.0,256.0,0.0,97.0,102.0
33,416.0,475.0,256.0,41.0,0.0,102.0
34,416.0,417.0,256.0,0.0,98.0,102.0
35,416.0,278.0,256.0,111.0,136.0,102.0
36,416.0,468.0,256.0,31.0,27.0,102.0
37,416.0,321.0,256.0,113.0,92.0,102.0
38,416.0,329.0,256.0,50.0,147.0,102.0
39,416.0,466.0,256.0,50.0,0.0,102.0
