,CTAB-stock,water-stock,GC-stock,AG-stock,AA-stock,SEEDS-stock
0,416.0,366.0,256.0,150.0,0.0,102.0
1,416.0,347.0,256.0,67.0,112.0,102.0
2,416.0,299.0,256.0,135.0,92.0,102.0
3,416.0,226.0,256.0,150.0,150.0,102.0
4,416.0,344.0,256.0,71.0,111.0,102.0
5,416.0,226.0,256.0,150.0,150.0,102.0
6,416.0,313.0,256.0,77.0,137.0,102.0
7,416.0,314.0,256.0,127.0,84.0,102.0
8,416.0,391.0,256.0,103.0,32.0,102.0
9,416.0,322.0,256.0,120.0,84.0,102.0
10,416.0,336.0,256.0,100.0,90.0,102.0
11,416.0,506.0,256.0,0.0,0.0,102.0
12,416.0,354.0,256.0,75.0,97.0,102.0
13,416.0,487.0,256.0,0.0,28.0,102.0
14,416.0,355.0,256.0,76.0,95.0,102.0
15,416.0,226.0,256.0,150.0,150.0,102.0
16,416.0,402.0,256.0,56.0,68.0,102.0
17,416.0,327.0,256.0,67.0,132.0,102.0
18,416.0,350.0,256.0,85.0,91.0,102.0
19,416.0,328.0,256.0,103.0,95.0,102.0
20,416.0,235.0,256.0,141.0,150.0,102.0
21,416.0,244.0,256.0,132.0,150.0,102.0
22,416.0,387.0,256.0,129.0,0.0,102.0
23,416.0,376.0,256.0,140.0,0.0,102.0
24,416.0,390.0,256.0,0.0,126.0,102.0
25,416.0,361.0,256.0,0.0,150.0,102.0
26,416.0,381.0,256.0,0.0,131.0,102.0
27,416.0,291.0,256.0,137.0,98.0,102.0
28,416.0,407.0,256.0,61.0,58.0,102.0
29,416.0,381.0,256.0,0.0,130.0,102.0
30,416.0,428.0,256.0,0.0,88.0,102.0
31,416.0,382.0,256.0,0.0,133.0,102.0
32,416.0,233.0,256.0,150.0,143.0,102.0
33,416.0,383.0,256.0,133.0,0.0,102.0
34,416.0,379.0,256.0,0.0,136.0,102.0
35,416.0,404.0,256.0,63.0,59.0,102.0
36,416.0,506.0,256.0,0.0,0.0,102.0
37,416.0,374.0,256.0,55.0,97.0,102.0
38,416.0,351.0,256.0,27.0,148.0,102.0
39,416.0,372.0,256.0,0.0,143.0,102.0
