,CTAB-stock,water-stock,GC-stock,AG-stock,AA-stock,SEEDS-stock
0,416.0,328.0,256.0,98.0,101.0,102.0
1,416.0,376.0,256.0,46.0,105.0,102.0
2,416.0,401.0,256.0,0.0,114.0,102.0
3,416.0,333.0,256.0,65.0,128.0,102.0
4,416.0,345.0,256.0,72.0,109.0,102.0
5,416.0,366.0,256.0,150.0,0.0,102.0
6,416.0,316.0,256.0,104.0,106.0,102.0
7,416.0,299.0,256.0,77.0,150.0,102.0
8,416.0,422.0,256.0,0.0,94.0,102.0
9,416.0,331.0,256.0,89.0,106.0,102.0
10,416.0,345.0,256.0,150.0,31.0,102.0
11,416.0,312.0,256.0,76.0,137.0,102.0
12,416.0,362.0,256.0,74.0,90.0,102.0
13,416.0,326.0,256.0,90.0,110.0,102.0
14,416.0,348.0,256.0,73.0,104.0,102.0
15,416.0,310.0,256.0,110.0,106.0,102.0
16,416.0,241.0,256.0,150.0,135.0,102.0
17,416.0,317.0,256.0,150.0,59.0,102.0
18,416.0,294.0,256.0,82.0,150.0,102.0
19,416.0,320.0,256.0,102.0,104.0,102.0
20,416.0,293.0,256.0,150.0,83.0,102.0
21,416.0,366.0,256.0,150.0,0.0,102.0
22,416.0,391.0,256.0,0.0,124.0,102.0
23,416.0,226.0,256.0,150.0,150.0,102.0
24,416.0,391.0,256.0,0.0,125.0,102.0
25,416.0,390.0,256.0,0.0,125.0,102.0
26,416.0,366.0,256.0,150.0,0.0,102.0
27,416.0,442.0,256.0,0.0,74.0,102.0
28,416.0,226.0,256.0,150.0,150.0,102.0
29,416.0,393.0,256.0,0.0,123.0,102.0
30,416.0,330.0,256.0,46.0,150.0,102.0
31,416.0,351.0,256.0,25.0,150.0,102.0
32,416.0,382.0,256.0,0.0,134.0,102.0
33,416.0,374.0,256.0,25.0,127.0,102.0
34,416.0,382.0,256.0,0.0,134.0,102.0
35,416.0,267.0,256.0,147.0,111.0,102.0
36,416.0,310.0,256.0,113.0,103.0,102.0
37,416.0,335.0,256.0,137.0,54.0,102.0
38,416.0,280.0,256.0,124.0,121.0,102.0
39,416.0,443.0,256.0,72.0,0.0,102.0
