,CTAB-stock,water-stock,GC-stock,AG-stock,AA-stock,SEEDS-stock
0,416.0,318.0,256.0,150.0,58.0,102.0
1,416.0,337.0,256.0,79.0,109.0,102.0
2,416.0,343.0,256.0,33.0,150.0,102.0
3,416.0,274.0,256.0,149.0,103.0,102.0
4,416.0,331.0,256.0,106.0,89.0,102.0
5,416.0,274.0,256.0,150.0,102.0,102.0
6,416.0,366.0,256.0,0.0,150.0,102.0
7,416.0,314.0,256.0,150.0,62.0,102.0
8,416.0,343.0,256.0,68.0,115.0,102.0
9,416.0,331.0,256.0,106.0,89.0,102.0
10,416.0,284.0,256.0,150.0,92.0,102.0
11,416.0,417.0,256.0,0.0,99.0,102.0
12,416.0,357.0,256.0,63.0,106.0,102.0
13,416.0,366.0,256.0,0.0,150.0,102.0
14,416.0,342.0,256.0,99.0,84.0,102.0
15,416.0,366.0,256.0,0.0,150.0,102.0
16,416.0,279.0,256.0,150.0,97.0,102.0
17,416.0,426.0,256.0,0.0,90.0,102.0
18,416.0,339.0,256.0,76.0,111.0,102.0
19,416.0,332.0,256.0,101.0,93.0,102.0
20,416.0,418.0,256.0,0.0,98.0,102.0
21,416.0,506.0,256.0,0.0,0.0,102.0
22,416.0,366.0,256.0,0.0,150.0,102.0
23,416.0,319.0,256.0,57.0,150.0,102.0
24,416.0,466.0,256.0,32.0,29.0,102.0
25,416.0,506.0,256.0,0.0,0.0,102.0
26,416.0,366.0,256.0,0.0,150.0,102.0
27,416.0,331.0,256.0,45.0,150.0,102.0
28,416.0,412.0,256.0,0.0,104.0,102.0
29,416.0,461.0,256.0,39.0,27.0,102.0
30,416.0,398.0,256.0,0.0,118.0,102.0
31,416.0,366.0,256.0,150.0,0.0,102.0
32,416.0,366.0,256.0,0.0,150.0,102.0
33,416.0,506.0,256.0,0.0,0.0,102.0
34,416.0,451.0,256.0,59.0,0.0,102.0
35,416.0,323.0,256.0,63.0,140.0,102.0
36,416.0,231.0,256.0,148.0,147.0,102.0
37,416.0,420.0,256.0,36.0,70.0,102.0
38,416.0,419.0,256.0,88.0,0.0,102.0
39,416.0,445.0,256.0,65.0,0.0,102.0
